epoch,loss,retrieval@3
1,21.056840639410268,
2,15.441213391181867,0.4812107980251312
3,10.773630800755516,
4,7.609771764553437,0.6150727868080139
5,5.592330131439719,
6,4.367496901025066,0.6801515817642212
7,3.644468374828924,
8,3.176999497337766,0.7161241173744202
9,2.852488278726215,
10,2.6081113490967307,0.7413976192474365
11,2.4131832739238996,
12,2.259405145734288,0.758120596408844
13,2.13950040184892,
14,2.0301433235478004,0.7690979242324829
15,1.934600708806145,
16,1.852198883310233,0.7831871509552002
17,1.778099089813498,
18,1.714187491172443,0.7894394993782043
19,1.6510720399749972,
20,1.6030351650221726,0.7949995398521423
21,1.5521612241567841,
22,1.50876308988273,0.8018871545791626
23,1.4692737650994565,
24,1.435533472253106,0.8052845597267151
25,1.3993703692131982,
26,1.3696970502440666,0.8086890578269958
27,1.3422640293433539,
28,1.3177161988466621,0.8125432729721069
29,1.291321231551652,
30,1.2675975333297642,0.8138708472251892
